Таврійська губернська палата цивільного суду, м. Сімферополь Таврійської губернії	Сімферополь	-
Народний суд 10-ї дільниці Пирятинського повіту, с.Сасинівка Сасинівської вол. Пирятинського пов. Полтавської губ.	Сасинівка	Полтавська
Народний суд 11-го поділу Роменського округу, с.Лука Лохвицького р-ну Роменського окр., до 1925р. Полтавської губ.	Лука	Полтавська
Народний суд 11-ї дільниці Гадяцького повіту, с.Рашівка Рашівської вол. Гадяцького пов. Полтавської губ.	Рашівка	Полтавська
Народний суд 11-ї дільниці, с.Юсківці Юсківської вол. Лохвицького пов. Полтавської губ.	Юсківці	Полтавська
Народний суд 12-ї дільниці Гадяцького повіту, с.Лютенька Лютенської вол. Гадяцького пов. Полтавської губ.	Лютенька	Полтавська
Народний суд 12-ї дільниці Пирятинського повіту, с.Кантакузівка Кантакузівської вол. Пирятинського пов. Полтавської губ.	Кантакузівка	Полтавська
Народний суд 14-ї дільниці Роменського округу, с.Капустинці Капустинського р-ну Роменського окр. Полтавської губ.	Капустинці	Полтавська
Народний суд 14-ї дільниці Роменського повіту, с.Коровинці Коровинської вол. Роменського пов. Полтавської губ.	Коровинці	Полтавська
Народний суд 14-ї дільниці, с.Кантакузівка Кантакузівської вол. Пирятинського пов. Полтавської губ.	Кантакузівка	Полтавська
Народний суд 16-го поділу Роменського округу, м.Гадяч Гадяцького р-ну Роменського окр., до 1925р. Полтавської губ.	Гадяч	Полтавська
Народний суд 16-ї дільниці, с.Черняхівка Черняхівської вол. Пирятинського пов. Полтавської губ.	Черняхівка	Полтавська
Народний суд 17-го поділу Роменського округу, с.Веприк Веприцького р-ну Роменського окр., до 1925р. Полтавської губ.	Веприк	Полтавська
Народний суд 1-го поділу, с.Чорнухи Чорнухинського р-ну Лубенського окр., з 1932р. Харківської обл., з 1937р. Полтавської обл.	Чорнухи	Полтавська
Народний суд 1-ї дільниці Гадяцького повіту, м.Гадяч Гадяцького пов. Полтавської губ.	Гадяч	Полтавська
Народний суд 1-ї дільниці Гадяцького району, м.Гадяч Гадяцького р-ну Роменського окр. Полтавської губ.	Гадяч	Полтавська
Народний суд 1-ї дільниці Лохвицького повіту, м.Лохвиця Лохвицького пов. Полтавської губ.	Лохвиця	Полтавська
Народний суд 1-ї дільниці Лохвицького р-ну, м.Лохвиця Лохвицького р-ну Роменського окр., до 1925р. Полтавської губ.	Лохвиця	Полтавська
Народний суд 1-ї дільниці, м. Пирятин Пирятинського пов. Полтавської губ.	Пирятин	Полтавська
Народний суд 29-го поділу Лубенського округу, м.Ромни Петрівсько-Роменського р-ну Лубенського окр.	Ромни Петрівсько-	Полтавська
Народний суд 2-ї дільниці Гадяцького повіту, м. Гадяч Гадяцького пов. Полтавської губ.	Гадяч	Полтавська
Народний суд 2-ї дільниці Лохвицького повіту, м.Лохвиця Лохвицького пов. Полтавської губ.	Лохвиця	Полтавська
