arch,fond,inv,anomalies,min_anom,max_anom,body_p95,body_files,concat,yearlike,isolated,empty_shells
ЦДІАК,127,40,1,1883,1883,182,94,0,1,0,0
ДАЖО,178,53,1,135664,135664,194,82,1,0,0,0
ЦДАВО,2201,3,1,1918,1918,60,63,0,1,0,0
ДАВіО,904,35,1,242191,242191,307,317,1,0,0,0
ДААРК,266,1,1,3839,3839,49,52,1,0,0,0
ДАХмО,Р6193,2,1,48560,48560,7157,7533,1,0,0,0
ДАЗпО,245,1,1,350,350,59,60,1,0,0,0
ЦДІАК,442,101,1,1830,1830,195,205,0,1,0,0
ДАХеО,137,16,1,35619,35619,33,35,1,0,0,0
ДАХмО,227,5ДОД,1,3084,3084,496,475,1,0,0,0
ДАХеО,316,4,1,37561,37561,49,52,1,0,0,0
ДАХеО,137,28,1,618,618,80,19,1,0,0,0
ДАЗкО,1552,5,1,3802,3802,559,586,1,0,0,1
ДАКО,297,1,1,3882,3882,426,87,1,0,0,0
ДАВоО,297,1,1,146289,146289,190,197,1,0,0,0
ДАМО,250,2,1,352,352,38,20,1,0,0,1
ДАКрО,127,1,1,22460,22460,22,23,1,0,0,0
ЦДІАК,127,161,1,1287,1287,165,121,1,0,0,0
ДАДоО,232,1,1,1496,1496,239,18,1,0,0,0
ДАСО,5734,1,1,2244,2244,223,90,1,0,0,1
ЦДІАК,1780,1,1,1479,1479,35,37,1,0,0,0
ДАВіО,904,31,1,1841,1841,25,22,0,1,0,0
ДАС,3,1,1,714,714,30,31,1,0,0,0
ДАРО,30,12,1,84765,84765,9603,9317,1,0,0,1
ДАЗпО,239,1,1,355,355,34,36,1,0,0,0
ЦДАВО,3096,1,1,1921,1921,20,21,0,1,0,0
ДАКрО,689,1,1,514,514,30,32,1,0,0,0
ДАМО,169,1,1,334,334,44,47,1,0,0,0
ДАХмО,198,1,1,30821,30821,2995,3147,1,0,0,0
ДАКрО,579,1,1,400,400,37,39,1,0,0,0
ДАЧвО,1245,6,1,4447,4447,369,375,1,0,0,0
ДАТО,Р3429,1,1,157896,157896,25980,26793,1,0,0,0
ДАВіО,904,34,1,3048,3048,72,73,1,0,0,0
ДАОО,920,1,1,56519,56519,61,64,1,0,0,0
ДАДоО,221,1,1,2891,2891,28,29,1,0,0,0
ДААРК,324,1,1,701175,701175,756,785,1,0,0,0
ЦДІАК,127,1015,1,3031820,3031820,1273,1334,1,0,0,0
ДАКрО,117,1,1,41497,41497,40,42,1,0,0,0
ДАКрО,345,1,1,47474,47474,46,45,1,0,0,0
ЦДІАК,127,874,1,31919,31919,258,224,1,0,0,0
ЦДАМЛМ,355,1,1,480,480,71,75,1,0,0,1
ЦДАМЛМ,581,2,1,21031977,21031977,802,838,0,0,1,0
ДАВіО,904,1,1,372158,372158,362,381,1,0,0,0
