imp_id,imp_title,old_id,old_title,dist_km,full_sim
b2eaa17f-23e6-4ead-8a95-ea32ae2fcab0,Вербова,3b29cf8d-8a76-4f59-88e0-fc39e7823ec8,"Дмитрівська церква, с. Вербова Балтський повіт Вербівська волость",0.42,0.15
5f3d2a45-a644-4110-95b2-2bb32f6c7d74,Ворокомле,aa1e8854-ef1c-486d-aba5-106a6220e53a,"Церква Покрову Пресвятої Богородиці, с. Ворокомле Великоглушанська волость Ковельський повіт",0.35,0.12
5f3d2a45-a644-4110-95b2-2bb32f6c7d74,Ворокомле,fec80f98-7129-4e4b-b3ca-e7c602c17db7,"Церква Святого Архангела Гавриїла, с. Ворокомле Великоглушанська волость Ковельський повіт",,0.12
9ad1c7f8-8de3-4986-ba7b-d34c1cb643c3,Гальжбіївка,c7d0a0bd-69b7-4ec2-87dd-2dda4624d4e1,"Різдво-Богородицька церква, с. Гальжбіївка Ямпільський повіт Подільська губернія",0.07,0.17
9ad1c7f8-8de3-4986-ba7b-d34c1cb643c3,Гальжбіївка,fb1f5036-3462-4ad8-bf02-af8ae1305550,"Різдво-богородична церква, с. Гальжбіївка Ямпільський повіт Ямпільська волость",0.07,0.18
f45d604c-6df1-44b5-b7fc-3ab555d003d6,Голоби,04fa5947-0303-4c35-8cdf-ba2c2b3495d8,"Костел Святого Архангела Михаїла, с. Голоби Ковельський повіт",0.33,0.13
f45d604c-6df1-44b5-b7fc-3ab555d003d6,Голоби,763de58d-535e-40c3-a343-c9fdf4762a68,"Церква Святого великомученика Георгія, с. Голоби Голобська волость Ковельський повіт",0.33,0.10
5e10659d-c6bc-4743-9c47-0160ae68066d,Горишківка,eb996854-ddea-45e0-a4b3-06419b3781aa,"Церква [назва не зазначена], с. Горишківка Ямпільський повіт Подільська губернія",0.17,0.16
5e10659d-c6bc-4743-9c47-0160ae68066d,Горишківка,d374486b-1cde-4301-86ac-b7ee89f3fda4,"Різдво-богородична церква, с. Горишківка Ямпільський повіт Комаргородська волость",0.17,0.15
33f2079e-939e-4a27-8a32-c1efb94bb58d,Горохів,c21e26b3-d3b4-41ba-ba1e-b593aa1f0030,"Горохівський гродський суд, м. Горохів Волинського воєводства",0.31,0.18
33f2079e-939e-4a27-8a32-c1efb94bb58d,Горохів,9b1377b2-7e5f-4f4c-9b33-f6d31e66eccc,"Церква Вознесіння Господнього, м. Горохів Скобелківська волость Володимир-Волинський повіт",0.31,0.10
33f2079e-939e-4a27-8a32-c1efb94bb58d,Горохів,3d69709f-c7f3-4c44-bd2b-6c27fae39032,"Горохівське повітове земельне управління, м. Горохів Горохівського повіту Волинського воєводства",0.31,0.12
33f2079e-939e-4a27-8a32-c1efb94bb58d,Горохів,8bf61bab-612b-4e80-8ef3-0bcbb2b632ac,"Полоньський Зиґмунт, нотаріус, м. Горохів Горохівського повіту Волинського воєводства",0.31,0.12
