old_full_code,new_full_code
ПЕРІОДИКА-1006-1923-73337,ПЕРІОДИКА-1006-1923-254
ПЕРІОДИКА-1006-1923-73338,ПЕРІОДИКА-1006-1923-177
ПЕРІОДИКА-1006-1923-73339,ПЕРІОДИКА-1006-1923-220
ПЕРІОДИКА-1006-1923-73340,ПЕРІОДИКА-1006-1923-176
ПЕРІОДИКА-1006-1923-73341,ПЕРІОДИКА-1006-1923-238
ПЕРІОДИКА-1006-1923-73342,ПЕРІОДИКА-1006-1923-228
ПЕРІОДИКА-1006-1923-73343,ПЕРІОДИКА-1006-1923-241
ПЕРІОДИКА-1006-1923-73344,ПЕРІОДИКА-1006-1923-215
ПЕРІОДИКА-1006-1923-73345,ПЕРІОДИКА-1006-1923-245
ПЕРІОДИКА-1006-1923-73346,ПЕРІОДИКА-1006-1923-230
ПЕРІОДИКА-1006-1923-73347,ПЕРІОДИКА-1006-1923-199
ПЕРІОДИКА-1006-1923-73348,ПЕРІОДИКА-1006-1923-189
ПЕРІОДИКА-1006-1923-73349,ПЕРІОДИКА-1006-1923-259
ПЕРІОДИКА-1006-1923-73350,ПЕРІОДИКА-1006-1923-194
ПЕРІОДИКА-1006-1923-73351,ПЕРІОДИКА-1006-1923-167
ПЕРІОДИКА-1006-1923-73352,ПЕРІОДИКА-1006-1923-164
ПЕРІОДИКА-1006-1923-73353,ПЕРІОДИКА-1006-1923-227
ПЕРІОДИКА-1006-1923-73354,ПЕРІОДИКА-1006-1923-235
ПЕРІОДИКА-1006-1923-73355,ПЕРІОДИКА-1006-1923-206
ПЕРІОДИКА-1006-1923-73356,ПЕРІОДИКА-1006-1923-211
ПЕРІОДИКА-1006-1923-73357,ПЕРІОДИКА-1006-1923-174
ПЕРІОДИКА-1006-1923-73358,ПЕРІОДИКА-1006-1923-171
ПЕРІОДИКА-1006-1923-73359,ПЕРІОДИКА-1006-1923-244
ПЕРІОДИКА-1006-1923-73360,ПЕРІОДИКА-1006-1923-221
ПЕРІОДИКА-1006-1923-73361,ПЕРІОДИКА-1006-1923-163
ПЕРІОДИКА-1006-1923-73362,ПЕРІОДИКА-1006-1923-168
ПЕРІОДИКА-1006-1923-73363,ПЕРІОДИКА-1006-1923-188
ПЕРІОДИКА-1006-1923-73364,ПЕРІОДИКА-1006-1923-172
ПЕРІОДИКА-1006-1923-73365,ПЕРІОДИКА-1006-1923-217
ПЕРІОДИКА-1006-1923-73366,ПЕРІОДИКА-1006-1923-255
ПЕРІОДИКА-1006-1923-73367,ПЕРІОДИКА-1006-1923-180
ПЕРІОДИКА-1006-1923-73368,ПЕРІОДИКА-1006-1923-214
ПЕРІОДИКА-1006-1923-73369,ПЕРІОДИКА-1006-1923-232
ПЕРІОДИКА-1006-1923-73370,ПЕРІОДИКА-1006-1923-184
ПЕРІОДИКА-1006-1923-73371,ПЕРІОДИКА-1006-1923-186
ПЕРІОДИКА-1006-1923-73372,ПЕРІОДИКА-1006-1923-222
ПЕРІОДИКА-1006-1923-73373,ПЕРІОДИКА-1006-1923-223
ПЕРІОДИКА-1006-1923-73374,ПЕРІОДИКА-1006-1923-197
ПЕРІОДИКА-1006-1923-73375,ПЕРІОДИКА-1006-1923-166
ПЕРІОДИКА-1006-1923-73376,ПЕРІОДИКА-1006-1923-157
ПЕРІОДИКА-1006-1923-73377,ПЕРІОДИКА-1006-1923-191
ПЕРІОДИКА-1006-1923-73378,ПЕРІОДИКА-1006-1923-183
ПЕРІОДИКА-1006-1923-73379,ПЕРІОДИКА-1006-1923-250
ПЕРІОДИКА-1006-1923-73380,ПЕРІОДИКА-1006-1923-165
ПЕРІОДИКА-1006-1923-73381,ПЕРІОДИКА-1006-1923-252
ПЕРІОДИКА-1006-1923-73382,ПЕРІОДИКА-1006-1923-175
ПЕРІОДИКА-1006-1923-73383,ПЕРІОДИКА-1006-1923-257
ПЕРІОДИКА-1006-1923-73384,ПЕРІОДИКА-1006-1923-209
ПЕРІОДИКА-1006-1923-73385,ПЕРІОДИКА-1006-1923-195
ПЕРІОДИКА-1006-1923-73386,ПЕРІОДИКА-1006-1923-231
ПЕРІОДИКА-1006-1923-73387,ПЕРІОДИКА-1006-1923-237
ПЕРІОДИКА-1006-1923-73388,ПЕРІОДИКА-1006-1923-196
ПЕРІОДИКА-1006-1923-73389,ПЕРІОДИКА-1006-1923-260
ПЕРІОДИКА-1006-1923-73390,ПЕРІОДИКА-1006-1923-161
ПЕРІОДИКА-1006-1923-73391,ПЕРІОДИКА-1006-1923-219
ПЕРІОДИКА-1006-1923-73392,ПЕРІОДИКА-1006-1923-247
ПЕРІОДИКА-1006-1923-73393,ПЕРІОДИКА-1006-1923-240
ПЕРІОДИКА-1006-1923-73394,ПЕРІОДИКА-1006-1923-258
ПЕРІОДИКА-1006-1923-73395,ПЕРІОДИКА-1006-1923-203
ПЕРІОДИКА-1006-1923-73396,ПЕРІОДИКА-1006-1923-239
ПЕРІОДИКА-1006-1923-73397,ПЕРІОДИКА-1006-1923-198
ПЕРІОДИКА-1006-1923-73398,ПЕРІОДИКА-1006-1923-201
ПЕРІОДИКА-1006-1923-73399,ПЕРІОДИКА-1006-1923-243
ПЕРІОДИКА-1006-1923-73400,ПЕРІОДИКА-1006-1923-216
